title,other title,creator,contributor,date,release date,subject,location,region,time period,description,abstract,table of contents,publisher,agency,standard number,rights,rights release,requirements for use,physical characteristics,collection,collection folder,type,language,format original,digital characteristics-a,series,digital collection,format,related items,title replaced by,title replaces,audience,hosted by,metadata creator,url-a,pres file name-m,pres local file path-m,full text,digital creation date-m,digital creator-m,capture tools-m,resolution-m,bit depth-m,security-m,checksum-m,local call number,revision-m,oclc number,date created,date modified,reference url,compound,cdmid,objectid,contentdm file name,full resolution,contentdm file path
Mooresville Public Library,,,,,,Public libraries--North Carolina;,"Mooresville, Iredell County, North Carolina, United States",,,Front entrance and facade of library in Mooresville.,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,8 x 10 inches,Public Library History Files. State Library of North Carolina,Iredell County Library,Image,English,Photographs,6192.444 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_iredell_photo_0002.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608726,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/431,,431,libraryhistory431,432.jp2,Volume35\tts_iredell_photo_0002.tif,/p249901coll36/image/432.jp2
Iredell Public Library bookmobile (interior),,,,1956-07-10,,Public libraries--North Carolina; Bookmobiles--North Carolina,"Iredell County, North Carolina, United States",,(1954-1971) Civil Rights era,Adults inspecting interior of bookmobile.,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3 x 3.5 inches,Public Library History Files. State Library of North Carolina,Iredell County Library,Image,English,Photographs,848.325 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_iredell_photo_0003.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608732,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/432,,432,libraryhistory432,433.jp2,Volume35\tts_iredell_photo_0003.tif,/p249901coll36/image/433.jp2
Exhibit at open house,,,,1956-07-10,,Public libraries--North Carolina; Library exhibits;,"Iredell County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Iredell Co. Library.""  Library Services display.",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3 x 3.5 inches,Public Library History Files. State Library of North Carolina,Iredell County Library,Image,English,Photographs,823.267 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_iredell_photo_0004.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608740,2008-09-29,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/433,,433,libraryhistory433,434.jp2,Volume35\tts_iredell_photo_0004.tif,/p249901coll36/image/434.jp2
Iredell County Library. Summer 'Story Hour' program,,"Sample, Sue.",,1956,,Public libraries--North Carolina; Children--North Carolina; Reading promotion--North Carolina,"Iredell County, North Carolina, United States",,(1954-1971) Civil Rights era,"Typed on back: ""One of the Guest Story Teller. Mrs. Fred T. Broyhill.""  Mrs. Broyhill reading ""Nicodemus and the Goose"" to children.",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,5 x 7 inches,Public Library History Files. State Library of North Carolina,Iredell County Library,Image,English,Photographs,2016.031 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_iredell_photo_0005.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608917,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/434,,434,libraryhistory434,435.jp2,Volume35\tts_iredell_photo_0005.tif,/p249901coll36/image/435.jp2
Mooresville Public Library's big snow,,,,1940-01-30,,Public libraries--North Carolina;,"Mooresville, Iredell County, North Carolina, United States",,(1929-1945) Depression and World War Two,"Written on back: ""Mooresville Public Library. Jan 23-30, 1940.  The big snow!"" Exterior of library and snow covered lawn.",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Iredell County Library,Image,English,Photographs,1043.884 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_iredell_photo_0006.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608750,2008-09-29,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/435,,435,libraryhistory435,436.jp2,Volume35\tts_iredell_photo_0006.tif,/p249901coll36/image/436.jp2
Smithfield Library. Story hour,,,,,,Public libraries--North Carolina; Children--North Carolina; Reading promotion--North Carolina,"Smithfield, Johnston County, North Carolina, United States",,,"Written on back: ""Story Hour  Smithfield Library."" Stamped on back: ""Hooke Studio  136A s. 3rd St. Smithfield, N.C.""",,,"Hooke"" Studio",,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,5 x 7 inches,Public Library History Files. State Library of North Carolina,Johnston County 1 of 3,Image,English,Photographs,3625.446 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0003.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608920,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/436,,436,libraryhistory436,437.jp2,Volume35\tts_johnston_photo_0003.tif,/p249901coll36/image/437.jp2
Library float. Farmer's Day parade,,,,1946-08,,Public libraries--North Carolina; Parades; Children--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period; (1954-1971) Civil Rights era,"Written on back: ""Library Float  Farmer's Day Parade  August, 1946.""  Stamped on back: ""Hooke Studio  136A S. 3rd St.  Smithfield, N.C."" Children at table and school desks holding books and newspapers.",,,"Hooke"" Studio",,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4.5 x 7 inches,Public Library History Files. State Library of North Carolina,Johnston County 1 of 3,Image,English,Photographs,3348.924 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0004.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605716,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/437,,437,libraryhistory437,438.jp2,Volume36\tts_johnston_photo_0004.tif,/p249901coll36/image/438.jp2
Johnston County bookmobile and two boys reading a book,,,,1946-11-13,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Schools--North Carolina,"Kenly, Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""Magazines from bookmobile  Glendale School  November 13, 1946.  Johnston Co.""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,806.48 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0005.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608772,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/438,,438,libraryhistory438,439.jp2,Volume36\tts_johnston_photo_0005.tif,/p249901coll36/image/439.jp2
Four Oaks Library bookmobile at Farmer's Day parade,,,,1946-08-14,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Four Oaks, Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""Jo. County  Farmer's Day Parade, Aug. 14,  1946.  Bookmobile, Library Float  & Four Oaks Lib. car.""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,763.127 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0006.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608930,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/439,,439,libraryhistory439,440.jp2,Volume36\tts_johnston_photo_0006.tif,/p249901coll36/image/440.jp2
Johnston County bookmobile. Girls checking out books,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period; (1954-1971) Civil Rights era,"Written on back: ""Johnston Co.  1955""",,,North Carolina News Bureau,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,6515.802 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0007.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608932,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/440,,440,libraryhistory440,441.jp2,Volume36\tts_johnston_photo_0007.tif,/p249901coll36/image/441.jp2
Smithfield Public Library. Children reading,,,,,,Public libraries--North Carolina; Children--North Carolina,"Smithfield, Johnston County, North Carolina, United States",,,"Written on back: ""Smithfield Public (Johnston Co.)""",,,"Hooke"" Studio",,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,5 x 7 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,4164.969 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0008.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608936,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/441,,441,libraryhistory441,442.jp2,Volume36\tts_johnston_photo_0008.tif,/p249901coll36/image/442.jp2
Johnston County bookmobile distributing health literature,,,,1946-12,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""December, 1946  Distributing Good Health  Literature  Johnston County Bookmobile""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3.5 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,2141.505 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0009.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605730,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/442,,442,libraryhistory442,443.jp2,Volume36\tts_johnston_photo_0009.tif,/p249901coll36/image/443.jp2
Johnston County bookmobile with children waiting in line to enter,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Johnston County - 1955""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1861.978 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0010.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608943,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/443,,443,libraryhistory443,444.jp2,Volume36\tts_johnston_photo_0010.tif,/p249901coll36/image/444.jp2
Johnston County bookmobile. Librarian checks out books to boy,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina; Public librarians; Children--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Johnston County  1955""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1373.358 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0011.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608947,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/444,,444,libraryhistory444,445.jp2,Volume36\tts_johnston_photo_0011.tif,/p249901coll36/image/445.jp2
Johnston County bookmobile. Librarian checks out books to girl,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina; Public librarians; Children--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Johnston Co  1955""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1459.403 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0012.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605739,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/445,,445,libraryhistory445,446.jp2,Volume36\tts_johnston_photo_0012.tif,/p249901coll36/image/446.jp2
Johnston County bookmobile from the side with the doors open,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Johnston Co. 1955""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1851.405 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0013.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605744,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/446,,446,libraryhistory446,447.jp2,Volume36\tts_johnston_photo_0013.tif,/p249901coll36/image/447.jp2
Johnston County bookmobile with children exiting,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Public librarians,"Johnston County, North Carolina, United States",,,,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,7.5 x 9.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,3642.75 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0014.tif,\Preservation_content\tts\images_master\,,,,,,,,,,,433608957,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/447,,447,libraryhistory447,448.jp2,Volume36\tts_johnston_photo_0014.tif,/p249901coll36/image/448.jp2
Johnston County bookmobile. Man reading,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,"Written on back: ""Johnston Co. - 1955""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1898.953 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0015.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605748,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/448,,448,libraryhistory448,449.jp2,Volume36\tts_johnston_photo_0015.tif,/p249901coll36/image/449.jp2
Bookmobile in rural Johnston County,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,Bookmobile parked at a farm with 1950s-era car in foreground.,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1733.598 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0016.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608963,2008-09-29,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/449,,449,libraryhistory449,450.jp2,Volume36\tts_johnston_photo_0016.tif,/p249901coll36/image/450.jp2
"Johnston County bookmobile on the road, from the rear",,"Hughey, Miles.",,,,Public libraries--North Carolina; Bookmobiles--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period; (1954-1971) Civil Rights era,"Written on back: ""Bookmobile  Johnston County Public Library  Smithfield, NC.""  Stamped on back: ""Photo by  Miles Hughey  North Carolina News Bureau  Dept Conservation & Development  P.O. Box 2719  Raleigh North Carolina.""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,7.5 x 9.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,6247.25 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0017.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605752,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/450,,450,libraryhistory450,451.jp2,Volume36\tts_johnston_photo_0017.tif,/p249901coll36/image/451.jp2
Children getting magazines from Johnston County bookmobile,,,,1946-11,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Schools--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""Johnston County School  children getting magazines  from bookmobile  Nov. 1946""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3.5 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1752.321 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0018.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605753,2008-09-29,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/451,,451,libraryhistory451,452.jp2,Volume36\tts_johnston_photo_0018.tif,/p249901coll36/image/452.jp2
Johnston County bookmobile and girl with book,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3.5 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1121.993 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0019.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605756,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/452,,452,libraryhistory452,453.jp2,Volume36\tts_johnston_photo_0019.tif,/p249901coll36/image/453.jp2
Boy in front of Johnston County bookmobile,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Women--North Carolina,"Johnston County, North Carolina, United States",,,"Written on back: ""Johnston County Bookmobile""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3.5 x 5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,2336.136 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0021.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605759,2008-09-29,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/453,,453,libraryhistory453,454.jp2,Volume36\tts_johnston_photo_0021.tif,/p249901coll36/image/454.jp2
Children reading magazines from the Johnston County bookmobile,,,,1946-11-13,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Schools--North Carolina,"Kenly, Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""Magazines from bookmobile  Glendale School  November 13, 1946""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,997.489 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0024.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608242,2008-09-29,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/454,,454,libraryhistory454,455.jp2,Volume36\tts_johnston_photo_0024.tif,/p249901coll36/image/455.jp2
"Johnston County bookmobile from the rear, with rear doors open and children waiting in line",,,,1946-11-13,,Public libraries--North Carolina; Bookmobiles--North Carolina; Children--North Carolina; Schools--North Carolina,"Johnston County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Written on back: ""Magazines from bookmobile  Glendale School  November 13, 1946  2 col cut  Smithfield Herald""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,939.738 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Allen, Christy",,tts_johnston_photo_0025.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605505,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/455,,455,libraryhistory455,456.jp2,Volume36\tts_johnston_photo_0025.tif,/p249901coll36/image/456.jp2
1950s-era car driving past Johnston County bookmobile,,,,1955,,Public libraries--North Carolina; Bookmobiles--North Carolina,"Johnston County, North Carolina, United States",,(1954-1971) Civil Rights era,,,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,4 x 5.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 2 of 3,Image,English,Photographs,1469.336 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0026.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433594270,2008-09-29,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/456,,456,libraryhistory456,457.jp2,Volume36\tts_johnston_photo_0026.tif,/p249901coll36/image/457.jp2
Congressman Harold Cooley,,,,1942-06-29,,Public libraries--North Carolina;,"Johnston County, North Carolina, United States",,(1929-1945) Depression and World War Two,"Written on back: ""Farmer's Day Congressman Harold Cooley  H. B. Marrow  6-29-42."" Stamped on back: ""Hooks Studio Smithfield, N.C."" Cooley and Marrow stand in front of Johnston County library vehicle.",,,Hooks Studio,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,2.5 x 3.5 inches,Public Library History Files. State Library of North Carolina,Johnston County 3 of 3,Image,English,Photographs,894.972 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_johnston_photo_0028.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605508,2008-09-29,2012-02-20,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/457,,457,libraryhistory457,458.jp2,Volume36\tts_johnston_photo_0028.tif,/p249901coll36/image/458.jp2
Lee County Library,,,,1957-10-19,,Public libraries--North Carolina;,"Sanford, Lee County, North Carolina, United States",,(1954-1971) Civil Rights era,"Front entrance of library. Written on back: ""Lee County Library  Sanford, N.C.  1957."" Stamped on back: ""This is a Kodacolor Print  Made only by Kodak. Week of Oct. 19 '57  RM.""",,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",,,3.5  x 5 inches,Public Library History Files. State Library of North Carolina,Lee County,Image,English,Photographs,979.944 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Case, Steve",,tts_lee_photo_0002.tif,\Preservation_content\tts\images_master\,,2008-05,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605511,2008-09-29,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/458,,458,libraryhistory458,459.jp2,Volume37\tts_lee_photo_0002.tif,/p249901coll36/image/459.jp2
